company,industry,comment,alimnu_number,employees_number,total_assets,has_base_in_usa,passed,is_test_offer_company,current_base,offer_charm_star
paypal,an American multinational financial technology company operating an online payments system in the majority of countries that support online money transfers; it serves as an electronic alternative to traditional paper methods such as checks and money orders,not so requirements on jd,64,"24,400",$81.6 billion,1,0,0,sgp,5
Airwallex,Founded in 2015 in Melbourne. Australia and currently headquartered in Singapore. the company's platform provides global payments through its application programming interface (API) and proprietary financial infrastructure. Services and products include business accounts. expense cards. and payroll. among others. It expanded into investment products in 2023,interested and many offer matched.include data,54,1.8k,$6.2 billion,1,0,0,sgp,5
Goldman Sachs,an American multinational investment bank and financial services company,interested and data offer supplied as well,48,,$122 billion,1,0,1,sgp,5
Honeywell, an American publicly traded. multinational conglomerate corporation headquartered in Charlotte. North Carolina. It primarily operates in four areas of business: aerospace. building automation. industrial automation. and energy and sustainability solutions (ESS),interested,46,102k,$18.6 billion,1,0,0,sgp,5
Capgemini,Capgemini SE is a French multinational information technology (IT) services and consulting company. headquartered in Paris. France,,20,34k,€3.7 billion,1,0,0,sgp,5
Mastercard,American multinational payment card services corporation headquartered in Purchase. New York. It offers a range of payment transaction processing and other related-payment services (such as travel-related payments and bookings). Throughout the world. its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard-brand debit. credit and prepaid cards to make purchases. Mastercard has been publicly traded since 2006,interested,16,35k,$48.1 billion ,1,0,0,sgp,5
autodesk,an American multinational software corporation that provides software products and services for the architecture. engineering. construction. manufacturing. media. education. and entertainment industries. Autodesk is headquartered in San Francisco. California,A great company.its products focus on animation and industry software.especially its product Autocad is famous cad standard implemention,14,15k,$10.8 billion10.8 billion,1,0,0,sgp,5
tiktok,data trans to data and ai/ml,i can do something more,1281,,,1,0,0,sgp,4
Shopee,a Singaporean multinational technology company that specializes in e-commerce,interested and data offer supplied as well,222,,,0,0,0,sgp,4
okx,blockchain technology company that operates the second-largest cryptocurrency exchange in terms of daily trading volume. and provides access to decentralized finance (DeFi) through its OKX Wallet,busy from their principles;only sgp site;trade and im department,103,5k,,0,0,0,sgp,4
Deloitte,is a multinational professional services network based in London. United Kingdom. It is the largest professional services network in the world by revenue and number of employees. and is one of the Big Four accounting firms. along with EY. KPMG. and PwC,not so interested not so matched like microsoft servers implementioner. but probably rebase usa,63,,$67.2 billion revenue no total equal data,1,0,0,sgp,4
Visa,an American multinational payment card services corporation headquartered in San Francisco. California,interested but jobs need more junior candidates,23,31.6k,$39.14 billion,1,0,0,sgp,4
Rockwell Automation, an American provider of industrial automation and digital transformation technologies headquartered in Milwaukee. Wisconsin. Its brands include Allen-Bradley. FactoryTalk software and LifecycleIQ Services,no sponsor visa,19,27k,$3.50 billion,1,0,0,sgp,4
TD,Toronto-Dominion Bank Group is a Canadian multinational banking and financial services corporation headquartered in Toronto. Ontario,interested ,18,10k,$115.2 billion,1,0,0,sgp,4
EPAM,an American company that specializes in software engineering services. digital platform engineering. and digital product design. operating out of Newtown. Pennsylvania. EPAM is a founding member of the MACH Alliance,not so interested but probably rebase usa,3,61k,$3.63 billion,1,0,0,sgp,4
amazon, multinational technology company engaged in e-commerce. cloud computing. online advertising. digital streaming. and artificial intelligence,main develop offers in usa.sgp and uae just left data.aftersale and consultant,,1.556k,$624.9 billion,1,1,0,sgp,4
Luxoft, ,,,,US$906.8 million,1,0,1,sgp,4
Crédit Agricole, active in a broad range of capital markets. investment banking and financing activities. Clients are primarily corporates. governments. and banks. with a small footprint in the investor segment,interested but more data engineer like,,10k,€133.7 billion in parent company,0,0,1,sgp,4
Ernst & Young,EY. previously known as Ernst & Young. is a multinational professional services network based in London. United Kingdom,offer seems to be binded to industry paltform close.data bingded to snowflake.backend binded to ServiceNow,136,392k,$51.2 billion revenue no total equal data,1,0,0,sgp,3
Traveloka ,Traveloka is an online travel platform established in 2012 in Jakarta. Indonesia. and headquartered in Singapore,biz mainly in southeast Aisa;both backend and data engineer need,19,,$4.5 billion gross value,0,0,1,sgp,3
A*STAR - Agency for Science. Technology and Research,a statutory board under the Ministry of Trade and Industry of Singapore,not so matched and interested but data offer supplied.research org,14,5k,,0,0,1,sgp,3
Crypto.com,a cryptocurrency exchange company based in Singapore that offers various financial services. including an app. exchange. and noncustodial DeFi wallet. NFT marketplace. and direct payment service in cryptocurrency. As of June 2023. the company reportedly had 100 million customers and 4.000 employees.,,9,4k,,0,0,1,sgp,3
Accenture Southeast Asia,a multinational professional services company originating in the United States and headquartered in Dublin. Ireland. that specializes in information technology (IT) services and management consulting.,not so matched and interested but data offer supplied.research org,4,774k,$29.17 billion,1,0,0,sgp,3
Kyndryl,an American multinational information technology infrastructure services provider,full stack front end not so matched and no sponsor work visa,4,73k,$1.33 billion,1,0,0,sgp,3
Standard Chartered Singapore,the Singapore based subsidiary of British banking and financial services company. Standard Chartered. Opening its first branch in 1859. the bank is one of the oldest in continuous operation in Singapore. The bank received its Qualifying Full Bank (QFB) licence in October. 1999. being one of the first foreign bank to qualify for the licence,need leader not so matched,1,1.4k,$8.42 billion,0,0,0,sgp,3
PSA Singapore,Maritime Transportation ,not so interested,,5k,,,0,1,sgp,3
Defence Science and Technology Agency,a statutory board under the purview of the Ministry of Defence of the Government of Singapore,not so interested,,,,0,0,1,sgp,3
Wipro, Indian multinational technology company based in Bengaluru. It provides information technology. consulting and business process services. and is one of India's Big Six IT services companies. Wipro's services include cloud computing. computer security. digital transformation. artificial intelligence. robotics. data analytics. and other technologies,indian company not so interesteed,,23k,US$15 billion,0,0,1,sgp,3
Government Technology Agency,a statutory board of the Government of Singapore. under the Prime Minister's Office. It was restructured from Infocomm Development Authority of Singapore (IMDA) in 2016. and officially legislated in Parliament on 18 August that year,government not so interested;jd not so clear,,1k,,0,0,1,sgp,3
Selby Jennings,it platform in financial and services ,not so interested and data offer supplied,,1k,,0,0,0,sgp,3
Cronos / Cronos Labs,little lab,not so interested,,500,,0,0,1,sgp,2
The Digital and Intelligence Service, the digital service branch of the Singapore Armed Forces (SAF) responsible for providing military intelligence to the armed forces. building up the country's digital defence capabilities. and protecting the psychological defence of its military personnel. It was established on 28 October 2022. in response to the increased number of attacks by non-state actors. and the resulting damage from the Russo-Ukrainian cyberwarfare.,military partner.not so interested,,10k,,0,0,1,sgp,2
SMRT Corporation,a multi-modal public transport operator in Singapore operating bus and rail services,contract which means temporary employee in jd.traditional industry,,10k,,0,1,1,sgp,1
Manulife," a Canadian multinational insurance company and financial services provider headquartered in Toronto. Ontario. The company operates in Canada and Asia as ""Manulife"" and in the United States primarily through its John Hancock Financial division",offer closed,,4k,$47.2 billion,,,,,
Millennium ,an investment management firm with a multistrategy hedge fund offering. It is one of the world's largest alternative asset management firms with over $75 billion assets under management as of June 2025,,7,6k,$ 75 billion,1,0,0,sgp,4
Barclays,a British multinational universal bank. headquartered in London. England. Barclays operates as five divisions. UK Consumer Bank. UK Corporate Bank. Private Bank and Wealth Management (PBWM). Investment Bank and US Consumer Bank Barclays UK comprises the British retail banking operations. consumer credit card business. wealth management business. and corporate banking for small. medium and large-sized businesses in the UK.,,,100k,£72.481 billion,,,,,
SailPoint ,Austin.Texas,,,1k,,,,,,
Coupang,Seattle. Washington,,25,10k,$4.10 billion,1,0,0,sgp,4
, ,,,,,,,,,
